Old	New
ABCG1	ABCG1
ABCG2	ABCG2
ABCG4	ABCG4
ABCG5	ABCG5
ABCG8	ABCG8
ABHD1	ABHD1
ABHD2	ABHD2
ABHD3	ABHD3
ABHD4	ABHD4
ABHD5	ABHD5
ABHD6	ABHD6
ABHD8	ABHD8
ABHD10	ABHD10
ABHD11	ABHD11
WBSCR21	ABHD11
ABHD12	ABHD12
C20orf22	ABHD12
ABHD12B	ABHD12B
C14orf29	ABHD12B
ABHD13	ABHD13
C13orf6	ABHD13
ABHD14A	ABHD14A
ABHD14A-ACY1	ABHD14A-ACY1
ABHD14B	ABHD14B
ABHD15	ABHD15
ABHD15-AS1	ABHD15-AS1
ABHD16A	ABHD16A
BAT5	ABHD16A
ABHD16B	ABHD16B
C20orf135	ABHD16B
ABHD17A	ABHD17A
C19orf27	ABHD17A
FAM108A1	ABHD17A
ABHD17AP1	ABHD17AP1
FAM108A2	ABHD17AP1
ABHD17AP2	ABHD17AP1
FAM108A3	ABHD17AP1
FAM108A11P	ABHD17AP1
FAM108A3P	ABHD17AP1
ABHD17AP3	ABHD17AP3
FAM108A4	ABHD17AP3
FAM108A4P	ABHD17AP3
ABHD17AP4	ABHD17AP4
FAM108A5	ABHD17AP4
FAM108A5P	ABHD17AP4
ABHD17AP5	ABHD17AP5
FAM108A6	ABHD17AP5
FAM108A6P	ABHD17AP5
ABHD17AP6	ABHD17AP6
FAM108A7P	ABHD17AP6
ABHD17AP7	ABHD17AP7
FAM108A8P	ABHD17AP7
ABHD17AP8	ABHD17AP8
FAM108A9P	ABHD17AP8
ABHD17AP9	ABHD17AP9
FAM108A10P	ABHD17AP9
ABHD17B	ABHD17B
C9orf77	ABHD17B
FAM108B1	ABHD17B
ABHD17C	ABHD17C
FAM108C1	ABHD17C
ABHD18	ABHD18
C4orf29	ABHD18
ABI1	ABI1
SSH3BP1	ABI1
ABI1P1	ABI1P1
SSH3BP1P	ABI1P1
ABI1P	ABI1P1
ABI2	ABI2
ABI3	ABI3
ABI3BP	ABI3BP
ABITRAM	ABITRAM
C9orf6	ABITRAM
FAM206A	ABITRAM
ABITRAMP1	ABITRAMP1
FAM206BP	ABITRAMP1
ABL1	ABL1
ABL	ABL1
ABL2	ABL2
ABLL	ABL2
ABLIM1	ABLIM1
LIMAB1	ABLIM1
ABLIM	ABLIM1
ABLIM2	ABLIM2
ABLIM3	ABLIM3
ABO	ABO
ABR	ABR
ABR-AS1	ABR-AS1
ABRA	ABRA
ABRACL	ABRACL
C6orf115	ABRACL
ABRAXAS1	ABRAXAS1
CCDC98	ABRAXAS1
FAM175A	ABRAXAS1
ABRAXAS1P1	ABRAXAS1P1
ABRAXAS1P2	ABRAXAS1P2
ABRAXAS2	ABRAXAS2
KIAA0157	ABRAXAS2
FAM175B	ABRAXAS2
ABT1	ABT1
ABT1P1	ABT1P1
ABTB1	ABTB1
ABTB2	ABTB2
ABTB3	ABTB3
BTBD11	ABTB3
ACAA1	ACAA1
ACAA2	ACAA2
ACAA2P1	ACAA2P1
ACACA	ACACA
ACAC	ACACA
ACC	ACACA
ACACB	ACACB
ACAD8	ACAD8
ACAD9	ACAD9
ACAD9-DT	ACAD9-DT
ACAD10	ACAD10
ACAD11	ACAD11
ACADL	ACADL
ACADM	ACADM
ACADS	ACADS
ACADSB	ACADSB
ACADVL	ACADVL
ACAN	ACAN
MSK16	ACAN
CSPG1	ACAN
AGC1	ACAN
ACAP1	ACAP1
CENTB1	ACAP1
ACAP2	ACAP2
CENTB2	ACAP2
ACAP2-IT1	ACAP2-IT1
ACAP3	ACAP3
CENTB5	ACAP3
ACAT1	ACAT1
ACAT	ACAT1
ACAT2	ACAT2
ACBD3	ACBD3
GOLPH1	ACBD3
GOCAP1	ACBD3
ACBD3-AS1	ACBD3-AS1
ACBD4	ACBD4
ACBD5	ACBD5
ACBD6	ACBD6
ACBD7	ACBD7
ACCS	ACCS
ACCSL	ACCSL
ACD	ACD
ACE	ACE
DCP1	ACE
ACE2	ACE2
ACE2-DT	ACE2-DT
ACE3P	ACE3P
ACER1	ACER1
ASAH3	ACER1
ACER2	ACER2
ASAH3L	ACER2
ACER2P1	ACER2P1
ACER3	ACER3
PHCA	ACER3
ACHE	ACHE
YT	ACHE
ACIN1	ACIN1
ACINUS	ACIN1
ACKR1	ACKR1
FY	ACKR1
DARC	ACKR1
ACKR2	ACKR2
CMKBR9	ACKR2
CCBP2	ACKR2
ACKR3	ACKR3
CMKOR1	ACKR3
CXCR7	ACKR3
ACKR4	ACKR4
CCRL1	ACKR4
ACKR4P1	ACKR4P1
CCRL1P	ACKR4P1
CCRL1P1	ACKR4P1
ACLY	ACLY
ACMSD	ACMSD
ACNATP	ACNATP
BAATP1	ACNATP
ACO1	ACO1
IREB1	ACO1
ACO2	ACO2
ACOD1	ACOD1
IRG1	ACOD1
ACOT1	ACOT1
ACOT2	ACOT2
ACOT4	ACOT4
ACOT6	ACOT6
C14orf42	ACOT6
ACOT7	ACOT7
ACOT8	ACOT8
PTE1	ACOT8
ACOT9	ACOT9
ACOT11	ACOT11
THEA	ACOT11
ACOT12	ACOT12
ACOT13	ACOT13
THEM2	ACOT13
ACOX1	ACOX1
ACOX2	ACOX2
ACOX3	ACOX3
ACOXL	ACOXL
ACOXL-AS1	ACOXL-AS1
ACP1	ACP1
ACP2	ACP2
ACP3	ACP3
ACPP	ACP3
ACP4	ACP4
ACPT	ACP4
ACP5	ACP5
ACP6	ACP6
ACP7	ACP7
ACR	ACR
ACRBP	ACRBP
ACRP1	ACRP1
ACRV1	ACRV1
ACSBG1	ACSBG1
ACSBG2	ACSBG2
ACSF2	ACSF2
ACSF3	ACSF3
ACSL1	ACSL1
FACL2	ACSL1
ACSL3	ACSL3
FACL3	ACSL3
ACSL3-AS1	ACSL3-AS1
ACSL3P1	ACSL3P1
ACSL4	ACSL4
FACL4	ACSL4
MRX63	ACSL4
MRX68	ACSL4
ACSL5	ACSL5
FACL5	ACSL5
ACSL6	ACSL6
FACL6	ACSL6
ACSL6-AS1	ACSL6-AS1
ACSM1	ACSM1
BUCS1	ACSM1
ACSM2A	ACSM2A
ACSM2	ACSM2A
ACSM2B	ACSM2B
ACSM2	ACSM2B
ACSM3	ACSM3
SAH	ACSM3
ACSM4	ACSM4
ACSM5	ACSM5
ACSM5P1	ACSM5P1
ACSM6	ACSM6
C10orf129	ACSM6
ACSS1	ACSS1
ACAS2L	ACSS1
ACSS2	ACSS2
ACAS2	ACSS2
ACSS3	ACSS3
ACTA1	ACTA1
ACTA	ACTA1
ACTA2	ACTA2
ACTA2-AS1	ACTA2-AS1
ACTB	ACTB
ACTBL2	ACTBL2
ACTBP1	ACTBP1
ACTBP2	ACTBP2
ACTBP3	ACTBP3
ACTBP4	ACTBP4
ACTBP6	ACTBP6
ACTBP7	ACTBP7
ACTBP8	ACTBP8
ACTBP9	ACTBP9
ACTBP10	ACTBP10
ACTBP11	ACTBP11
ACTBP12	ACTBP12
ACTGP5	ACTBP12
ACTBP14	ACTBP14
ACTBP15	ACTBP15
ACTBP16	ACTBP16
ACTC1	ACTC1
ACTC	ACTC1
ACTE1P	ACTE1P
ACTG1	ACTG1
ACTG	ACTG1
DFNA20	ACTG1
DFNA26	ACTG1
ACTG1P1	ACTG1P1
ACTGP1	ACTG1P1
ACT1GP1	ACTG1P1
ACTG1P2	ACTG1P2
ACTL2	ACTG1P2
ACTGP2	ACTG1P2
ACTG1P3	ACTG1P3
ACTGP3	ACTG1P3
ACTG1P4	ACTG1P4
ACTGP4	ACTG1P4
ACTG1P6	ACTG1P6
ACTGP6	ACTG1P6
ACTG1P7	ACTG1P7
ACTGP7	ACTG1P7
ACTG1P8	ACTG1P8
ACTGP8	ACTG1P8
ACTG1P9	ACTG1P9
ACTGP9	ACTG1P9
ACTG1P10	ACTG1P10
ACTL1	ACTG1P10
ACTGP10	ACTG1P10
ACTG1P11	ACTG1P11
ACTG1P12	ACTG1P12
ACTG1P13	ACTG1P13
ACTG1P14	ACTG1P14
ACTG1P15	ACTG1P15
ACTG1P16	ACTG1P16
ACTG1P17	ACTG1P17
ACTG1P18	ACTG1P18
ACTG1P19	ACTG1P19
ACTG1P20	ACTG1P20
ACTG1P21	ACTG1P21
ACTG1P22	ACTG1P22
ACTG1P23	ACTG1P23
ACTG1P24	ACTG1P24
POTENP	ACTG1P24
ACTG1P25	ACTG1P25
ACTG2	ACTG2
ACTL3	ACTG2
ACTA3	ACTG2
ACTL6A	ACTL6A
ACTL6B	ACTL6B
ACTL6	ACTL6B
ACTL7A	ACTL7A
ACTL7B	ACTL7B
ACTL8	ACTL8
ACTL9	ACTL9
ACTL10	ACTL10
C20orf134	ACTL10
ACTL11P	ACTL11P
ACTBP13	ACTL11P
ACTMAP	ACTMAP
C19orf54	ACTMAP
ACTN1	ACTN1
ACTN1-DT	ACTN1-DT
C14orf84	ACTN1-DT
ACTN1-AS1	ACTN1-DT
ACTN2	ACTN2
ACTN3	ACTN3
ACTN4	ACTN4
FSGS1	ACTN4
ACTN4P1	ACTN4P1
ACTN4P2	ACTN4P2
ACTP1	ACTP1
ACTR1A	ACTR1A
ACTR1AP1	ACTR1AP1
ACTR1B	ACTR1B
CTRN2	ACTR1B
ACTR2	ACTR2
ACTR3	ACTR3
ACTR3-AS1	ACTR3-AS1
ACTR3B	ACTR3B
ACTR3BP1	ACTR3BP1
ACTR3BP2	ACTR3BP2
ACTR3BP3	ACTR3BP3
ACTR3BP4	ACTR3BP4
ACTR3BP5	ACTR3BP5
ACTR3BP6	ACTR3BP6
ACTR3BP7	ACTR3BP7
ACTR3C	ACTR3C
ACTR3P1	ACTR3P1
ACTR3P2	ACTR3P2
ACTR3P3	ACTR3P3
ACTR5	ACTR5
ACTR6	ACTR6
ACTR6P1	ACTR6P1
ACTR8	ACTR8
ACTR10	ACTR10
ACTRT1	ACTRT1
ACTRT1P1	ACTRT1P1
ACTRT2	ACTRT2
ACTRT3	ACTRT3
ACVR1	ACVR1
ACVRLK2	ACVR1
ACVR1B	ACVR1B
ACVRLK4	ACVR1B
ACVR1C	ACVR1C
ACVR2A	ACVR2A
ACVR2	ACVR2A
ACVR2B	ACVR2B
ACVR2B-AS1	ACVR2B-AS1
ACVRL1	ACVRL1
ACVRLK1	ACVRL1
ORW2	ACVRL1
ACY1	ACY1
ACY3	ACY3
ACYP1	ACYP1
ACYP2	ACYP2
ADA	ADA
ADA2	ADA2
IDGFL	ADA2
CECR1	ADA2
ADAD1	ADAD1
ADAD1P1	ADAD1P1
ADAD1P2	ADAD1P2
ADAD2	ADAD2
ADAL	ADAL
ADAM1A	ADAM1A
ADAM1	ADAM1A
ADAM1B	ADAM1B
ADAM2	ADAM2
FTNB	ADAM2
ADAM3A	ADAM3A
CYRN1	ADAM3A
ADAM3B	ADAM3B
CYRN2	ADAM3B
ADAM5	ADAM5
ADAM5P	ADAM5
ADAM6	ADAM6
C14orf96	ADAM6
ADAM7	ADAM7
ADAM7-AS1	ADAM7-AS1
ADAM7-AS2	ADAM7-AS2
ADAM8	ADAM8
ADAM9	ADAM9
CORD9	ADAM9
ADAM10	ADAM10
ADAM11	ADAM11
MDC	ADAM11
ADAM12	ADAM12
ADAM15	ADAM15
ADAM17	ADAM17
TACE	ADAM17
ADAM18	ADAM18
ADAM19	ADAM19
ADAM20	ADAM20
ADAM20P1	ADAM20P1
C14orf55	ADAM20P1
ADAM20P2	ADAM20P2
ADAM20P3	ADAM20P3
ADAM21	ADAM21
ADAM21P1	ADAM21P1
ADAM21P	ADAM21P1
ADAM22	ADAM22
ADAM23	ADAM23
ADAM24P	ADAM24P
ADAM28	ADAM28
ADAM29	ADAM29
ADAM30	ADAM30
ADAM32	ADAM32
ADAM33	ADAM33
C20orf153	ADAM33
ADAMDEC1	ADAMDEC1
ADAMTS1	ADAMTS1
ADAMTS2	ADAMTS2
ADAMTS3	ADAMTS3
ADAMTS4	ADAMTS4
ADAMTS5	ADAMTS5
ADAMTS6	ADAMTS6
ADAMTS7	ADAMTS7
ADAMTS7P1	ADAMTS7P1
ADAMTS7P2	ADAMTS7P1
ADAMTS7P3	ADAMTS7P3
ADAMTS7P4	ADAMTS7P4
ADAMTS8	ADAMTS8
ADAMTS9	ADAMTS9
ADAMTS9-AS1	ADAMTS9-AS1
ADAMTS9-AS2	ADAMTS9-AS2
ADAMTS10	ADAMTS10
ADAMTS12	ADAMTS12
ADAMTS13	ADAMTS13
C9orf8	ADAMTS13
ADAMTS14	ADAMTS14
ADAMTS15	ADAMTS15
ADAMTS16	ADAMTS16
ADAMTS16-DT	ADAMTS16-DT
ADAMTS17	ADAMTS17
ADAMTS18	ADAMTS18
ADAMTS21	ADAMTS18
ADAMTS19	ADAMTS19
ADAMTS19-AS1	ADAMTS19-AS1
ADAMTS20	ADAMTS20
ADAMTSL1	ADAMTSL1
C9orf94	ADAMTSL1
ADAMTSL2	ADAMTSL2
ADAMTSL3	ADAMTSL3
ADAMTSL4	ADAMTSL4
TSRC1	ADAMTSL4
ADAMTSL4-AS1	ADAMTSL4-AS1
C1orf138	ADAMTSL4-AS1
ADAMTSL4-AS2	ADAMTSL4-AS2
ADAMTSL5	ADAMTSL5
THSD6	ADAMTSL5
ADAP1	ADAP1
CENTA1	ADAP1
ADAP2	ADAP2
CENTA2	ADAP2
ADAR	ADAR
IFI4	ADAR
G1P1	ADAR
ADARB1	ADARB1
ADARB2	ADARB2
ADARB2-AS1	ADARB2-AS1
C10orf109	ADARB2-AS1
NCRNA00168	ADARB2-AS1
ADAT1	ADAT1
ADAT2	ADAT2
DEADC1	ADAT2
ADAT3	ADAT3
ADCK1	ADCK1
ADCK2	ADCK2
ADCK5	ADCK5
ADCP1	ADCP1
ADCY1	ADCY1
DFNB44	ADCY1
ADCY2	ADCY2
ADCY3	ADCY3
ADCY4	ADCY4
ADCY5	ADCY5
ADCY6	ADCY6
ADCY6-DT	ADCY6-DT
ADCY7	ADCY7
ADCY8	ADCY8
ADCY9	ADCY9
ADCY10	ADCY10
ADCY10P1	ADCY10P1
ADCYAP1	ADCYAP1
ADCYAP1R1	ADCYAP1R1
ADD1	ADD1
ADD2	ADD2
ADD3	ADD3
ADDL	ADD3
ADD3-AS1	ADD3-AS1
ADGB	ADGB
C6orf103	ADGB
ADGB-DT	ADGB-DT
ADGRA1	ADGRA1
GPR123	ADGRA1
ADGRA1-AS1	ADGRA1-AS1
GPR123-AS1	ADGRA1-AS1
ADGRA2	ADGRA2
GPR124	ADGRA2
ADGRA3	ADGRA3
GPR125	ADGRA3
ADGRA3P1	ADGRA3P1
ADGRB1	ADGRB1
BAI1	ADGRB1
ADGRB2	ADGRB2
BAI2	ADGRB2
ADGRB3	ADGRB3
BAI3	ADGRB3
ADGRB3-DT	ADGRB3-DT
ADGRD1	ADGRD1
GPR133	ADGRD1
ADGRD1-AS1	ADGRD1-AS1
ADGRD2	ADGRD2
GPR144	ADGRD2
ADGRE1	ADGRE1
TM7LN3	ADGRE1
EMR1	ADGRE1
ADGRE2	ADGRE2
EMR2	ADGRE2
ADGRE3	ADGRE3
EMR3	ADGRE3
ADGRE4P	ADGRE4P
GPR127	ADGRE4P
EMR4	ADGRE4P
EMR4P	ADGRE4P
ADGRE5	ADGRE5
CD97	ADGRE5
ADGRF1	ADGRF1
GPR110	ADGRF1
ADGRF2P	ADGRF2P
GPR111	ADGRF2P
ADGRF2	ADGRF2P
ADGRF3	ADGRF3
GPR113	ADGRF3
ADGRF4	ADGRF4
GPR115	ADGRF4
ADGRF5	ADGRF5
GPR116	ADGRF5
ADGRF5-AS1	ADGRF5-AS1
ADGRF5P1	ADGRF5P1
GPR116P1	ADGRF5P1
ADGRF5P2	ADGRF5P2
GPR116P2	ADGRF5P2
ADGRG1	ADGRG1
GPR56	ADGRG1
ADGRG2	ADGRG2
GPR64	ADGRG2
ADGRG3	ADGRG3
GPR97	ADGRG3
ADGRG4	ADGRG4
GPR112	ADGRG4
ADGRG5	ADGRG5
GPR114	ADGRG5
ADGRG6	ADGRG6
GPR126	ADGRG6
ADGRG7	ADGRG7
GPR128	ADGRG7
ADGRL1	ADGRL1
LPHN1	ADGRL1
ADGRL1-AS1	ADGRL1-AS1
ADGRL2	ADGRL2
LPHH1	ADGRL2
LPHN2	ADGRL2
ADGRL3	ADGRL3
LPHN3	ADGRL3
ADGRL3-AS1	ADGRL3-AS1
LPHN3-AS1	ADGRL3-AS1
ADGRL4	ADGRL4
ELTD1	ADGRL4
ADGRV1	ADGRV1
USH2C	ADGRV1
MASS1	ADGRV1
GPR98	ADGRV1
ADH1A	ADH1A
ADH1	ADH1A
ADH1B	ADH1B
ADH2	ADH1B
ADH1C	ADH1C
ADH3	ADH1C
ADH4	ADH4
ADH5	ADH5
FDH	ADH5
ADH5P2	ADH5P2
ADH5P3	ADH5P3
ADH5P4	ADH5P4
ADH5B	ADH5P4
ADH5P5	ADH5P5
ADH6	ADH6
ADH7	ADH7
ADHFE1	ADHFE1
ADI1	ADI1
ADI1P1	ADI1P1
ADI1P2	ADI1P2
ADI1P3	ADI1P3
ADIG	ADIG
ADIPINT	ADIPINT
ADIPOQ	ADIPOQ
ACDC	ADIPOQ
ADIPOQ-AS1	ADIPOQ-AS1
ADIPOR1	ADIPOR1
ADIPOR1P1	ADIPOR1P1
ADIPOR1P2	ADIPOR1P2
ADIPOR2	ADIPOR2
ADIRF	ADIRF
C10orf116	ADIRF
ADIRF-AS1	ADIRF-AS1
ADISSP	ADISSP
C20orf27	ADISSP
ADK	ADK
ADM	ADM
ADM-DT	ADM-DT
ADM2	ADM2
ADM5	ADM5
C19orf76	ADM5
ADNP	ADNP
ADNP-AS1	ADNP-AS1
ADNP2	ADNP2
ZNF508	ADNP2
ADO	ADO
C10orf22	ADO
ADORA1	ADORA1
ADORA2A	ADORA2A
ADORA2	ADORA2A
ADORA2A-AS1	ADORA2A-AS1
C22orf45	ADORA2A-AS1
ADORA2B	ADORA2B
ADORA2BP1	ADORA2BP1
ADORA2BP	ADORA2BP1
ADORA3	ADORA3
ADPGK	ADPGK
ADPGK-AS1	ADPGK-AS1
ADPRH	ADPRH
ADPRHL1	ADPRHL1
ADPRM	ADPRM
C17orf48	ADPRM
ADPRS	ADPRS
ADPRHL2	ADPRS
ADRA1A	ADRA1A
ADRA1C	ADRA1A
ADRA1B	ADRA1B
ADRA1D	ADRA1D
ADRA2A	ADRA2A
ADRA2	ADRA2A
ADRA2R	ADRA2A
ADRA2B	ADRA2B
ADRA2L1	ADRA2B
ADRA2RL1	ADRA2B
ADRA2C	ADRA2C
ADRA2L2	ADRA2C
ADRA2RL2	ADRA2C
ADRB1	ADRB1
ADRB1R	ADRB1
ADRB2	ADRB2
ADRB2R	ADRB2
ADRB3	ADRB3
ADRM1	ADRM1
ADSL	ADSL
ADSS1	ADSS1
ADSSL1	ADSS1
ADSS2	ADSS2
ADSS	ADSS2
ADTRP	ADTRP
C6orf105	ADTRP
AEBP1	AEBP1
AEBP2	AEBP2
AEN	AEN
ISG20L1	AEN
AFAP1	AFAP1
AFAP1-AS1	AFAP1-AS1
AFAP1AS	AFAP1-AS1
AFAP1-AS	AFAP1-AS1
AFAP1L1	AFAP1L1
AFAP1L2	AFAP1L2
KIAA1914	AFAP1L2
AFDN	AFDN
MLLT4	AFDN
AFDN-DT	AFDN-DT
C6orf124	AFDN-DT
MLLT4-AS1	AFDN-DT
AFDN-AS1	AFDN-DT
AFF1	AFF1
PBM1	AFF1
MLLT2	AFF1
AFF1-AS1	AFF1-AS1
AFF2	AFF2
FMR2	AFF2
AFF2-IT1	AFF2-IT1
AFF3	AFF3
LAF4	AFF3
AFF4	AFF4
AFF4-DT	AFF4-DT
AFF4P1	AFF4P1
AFG1L	AFG1L
LACE1	AFG1L
AFG2A	AFG2A
SPATA5	AFG2A
AFG2B	AFG2B
SPATA5L1	AFG2B
AFG3L1P	AFG3L1P
AFG3	AFG3L1P
AFG3L1	AFG3L1P
AFG3L2	AFG3L2
SCA28	AFG3L2
AFG3L2P1	AFG3L2P1
AFG3L2P	AFG3L2P1
AFM	AFM
AFMID	AFMID
AFP	AFP
HPAFP	AFP
AFTPH	AFTPH
AFTPH-DT	AFTPH-DT
AGA	AGA
AGA-DT	AGA-DT
AGAP1	AGAP1
CENTG2	AGAP1
AGAP1-IT1	AGAP1-IT1
AGAP2	AGAP2
CENTG1	AGAP2
AGAP2-AS1	AGAP2-AS1
AGAP3	AGAP3
CENTG3	AGAP3
AGAP4	AGAP4
CTGLF1	AGAP4
AGAP8	AGAP4
CTGLF5	AGAP4
AGAP5	AGAP5
CTGLF2	AGAP5
AGAP6	AGAP6
CTGLF3	AGAP6
AGAP7P	AGAP7P
CTGLF4	AGAP7P
AGAP7	AGAP7P
AGAP9	AGAP9
CTGLF6	AGAP9
AGAP10P	AGAP10P
AGAP10	AGAP10P
CTGLF7	AGAP10P
CTGLF10P	AGAP10P
AGAP11	AGAP11
AGAP12P	AGAP12P
CTGLF12P	AGAP12P
AGAP13P	AGAP13P
CTGLF9P	AGAP13P
AGAP14P	AGAP14P
CTGLF11P	AGAP14P
AGAP14	AGAP14P
AGBL1	AGBL1
AGBL1-AS1	AGBL1-AS1
AGBL2	AGBL2
AGBL3	AGBL3
AGBL4	AGBL4
AGBL4-AS1	AGBL4-AS1
AGBL4-IT1	AGBL4-IT1
AGBL5	AGBL5
AGBL5-AS1	AGBL5-AS1
AGBL5-IT1	AGBL5-IT1
AGER	AGER
AGFG1	AGFG1
HRB	AGFG1
AGFG2	AGFG2
HRBL	AGFG2
AGGF1	AGGF1
AGGF1P1	AGGF1P1
AGGF1P2	AGGF1P2
AGGF1P3	AGGF1P3
AGGF1P4	AGGF1P4
AGGF1P5	AGGF1P5
AGGF1P6	AGGF1P6
AGGF1P7	AGGF1P7
AGGF1P8	AGGF1P8
AGGF1P9	AGGF1P9
AGGF1P10	AGGF1P10
AGK	AGK
MULK	AGK
AGK-DT	AGK-DT
AGKP1	AGKP1
AGKP2	AGKP2
AGL	AGL
AGMAT	AGMAT
AGMO	AGMO
TMEM195	AGMO
AGO1	AGO1
EIF2C1	AGO1
AGO2	AGO2
EIF2C2	AGO2
CASC7	AGO2
AGO3	AGO3
EIF2C3	AGO3
AGO4	AGO4
EIF2C4	AGO4
AGPAT1	AGPAT1
AGPAT2	AGPAT2
BSCL	AGPAT2
AGPAT3	AGPAT3
AGPAT4	AGPAT4
AGPAT4-IT1	AGPAT4-IT1
C6orf59	AGPAT4-IT1
NCRNA00241	AGPAT4-IT1
AGPAT5	AGPAT5
AGPAT5P1	AGPAT5P1
AGPS	AGPS
AGR2	AGR2
AGR3	AGR3
AGRN	AGRN
AGRIN	AGRN
AGRP	AGRP
AGT	AGT
SERPINA8	AGT
AGTPBP1	AGTPBP1
AGTR1	AGTR1
AGTR1B	AGTR1
AGTR2	AGTR2
AGTRAP	AGTRAP
AGXT	AGXT
SPAT	AGXT
AGXT2	AGXT2
AHCTF1	AHCTF1
AHCTF1P1	AHCTF1P1
AHCTF1P	AHCTF1P1
AHCY	AHCY
AHCYL1	AHCYL1
AHCYL2	AHCYL2
AHCYP1	AHCYP1
AHCYP2	AHCYP2
AHCYP3	AHCYP3
AHCYP4	AHCYP4
AHCYP5	AHCYP5
AHCYP6	AHCYP6
AHCYP7	AHCYP7
AHCYP8	AHCYP8
AHDC1	AHDC1
AHI1	AHI1
AHI1-DT	AHI1-DT
C6orf217	AHI1-DT
NCRNA00271	AHI1-DT
LINC00271	AHI1-DT
AHNAK	AHNAK
AHNAK2	AHNAK2
C14orf78	AHNAK2
AHR	AHR
AHRR	AHRR
AHH	AHRR
AHHR	AHRR
AHSA1	AHSA1
C14orf3	AHSA1
AHSA2P	AHSA2P
AHSA2	AHSA2P
AHSG	AHSG
AHSP	AHSP
ERAF	AHSP
AICDA	AICDA
AIDA	AIDA
C1orf80	AIDA
